0	(re)zip	Booth: N2046	['Austin,', 'TX', 'United States']	Rezip Co. designs thoughtful products to help  consumers live a simpler, greener lifestyle. (re)zip® Reusable Storage Bags are the original  food-safe, lightweight, leakproof, freezer-safe  reusable bags. They are designed to simplify  food storage, and make it easy  for consumers to consciously reduce single-use  plastic baggies. (re)zip Reusable Storage Bags  are available in an assortment of sizes and styles  to accommodate a variety of uses including food  prep, pantry storage, organization, and more	Brands: Rezip	['Home', 'Pet', 'Special Attributes']	[['Household Supplies', 'Kitchen & Dining', 'Miscellaneous'], ['Pet Food - Cat', 'Pet Food - Dog'], ['Sustainability']]
1	100% Organic New Zealand	Booth: 1925	['RD 1 Rangiora,', 'New Zealand']	N/A	N/A	[]	[]
2	100% PURE	Booth: 3127	['San Jose,', 'CA', 'United States']	N/A	N/A	[]	[]
3	10000 Inc (Magic Mind)	Booth: N2010	['SAN FRANCISCO,', 'CA', 'United States']	N/A	N/A	['Beverages', 'Herbs & Functional Foods', 'Supplements']	[['Coffee', 'Sports & Energy Drinks'], ['Herbs & Functional Foods'], ['Antioxidants', 'Superfood & Greens Blends']]
4	24Vegan	Booth: 879	['Arcadia,', 'CA', 'United States']	24Vegan has been hosting a local Vietnamese vegan cooking show on Southern California's TV station when the idea of creating our own brand of vegan fish sauce came to mind. We wanted to spread the love of Vietnamese vegan food to a broader audience. With that in mind, we spent a few years perfecting a recipe we hope all will come to love. We guarantee you'll love the taste. Our line of fish sauce is 100% vegan. Please stop by our booth to try 24Vegan's Fish Sauce!	Brands: 24Vegan Fish Sauce	['Condiments & Sauces', 'Special Attributes']	[['Condiments & Sauces'], ['Ethnic', 'Gluten/Wheat Free', 'Soy Foods', 'Vegan']]
5	2Fit Brands	Booth: N535	['McLean,', 'VA', 'United States']	N/A	N/A	[]	[]
6	3 Elizabeths	Booth: N1808	['Cleveland,', 'OH', 'United States']	Sidari Artisan Brands’ story is rooted in a history of quality and entrepreneurship. Our mission is to empower entrepreneurs and local brands to bring their one-of-a-kind products to the national market. Introducing brands like Randy’s Artisanal— crafter of flavor-packed, gourmet pickles unlike any other on the shelf. Or women-owned Three Elizabeth's— maker of hyper-premium, small-batch almonds, and jerky in truly unique flavors. Both brands use only high-quality natural ingredients.	Brands: Randy's Artisanal Pickles // Three Elizabeth's Nuts and Jerky	['Snacks']	[['Jerky']]
7	3 Seasons Fruit LLC	Booth: 5604	['BANGKOK,', 'Thailand']	We are leading manufacturers of freeze dried fruits & Vegetables in slice and powders, frozen fruits.  Our Factory has certificated by BRC,HACCP,ISO22000,GMP, HALAL,KOSHER.  we use thailand tropical raw material to produce high quality FD products which are 100% natural,  no additives, no preserved, no GMO. original taste, size, favour,  nutrition facts are kept .  We offer one stop service start from collect raw material to finish good until export. Our service include bulk pack, OEM and retail.	Brands: THAIAOCHI	['Raw Ingredients', 'Beverages', 'Frozen', 'Snacks', 'Supplements']	[['Fruits & Vegetables'], ['Smoothies', 'Fruit Flavored Drinks'], ['Frozen Fruits', 'Frozen Vegetables'], ['Dried Fruit', 'Fruit Snacks', 'Vegetable Snacks'], ['Antioxidants', 'Superfood & Greens Blends']]
8	49th Parallel Coffee Roasters	Booth: N1037	['Burnaby,', 'BC', 'Canada']	Specialty coffee leader: Established in 2004, a key pioneer in Specialty grade coffee Sustainable packaging: Biotre 60% biodegradable / 60% renewable plant-Based materials Sustainable sourcing: commitment to Direct trade sourced coffees Exceptional quality: Small batch roasting and daily cuppings on every roast batch 	Brands: 49th Parallel Coffee	['Packaging', 'Special Attributes']	[['Biodegradable Packaging'], ['Organic Food & Bev', 'Specialty/Gourmet']]
9	4Sisters Rice	Booth: 5395	['Mer Rouge,', 'LA', 'United States']	N/A	N/A	[]	[]
10	4th & Heart	Booth: N715	['Venice,', 'CA', 'United States']	FOURTH & HEART IS AN ARTISANAL FOOD BRAND BASED IN LOS ANGELES, CA, SET ON A MISSION TO MODERNIZE ANCIENT PANTRY FOOD STAPLES STARTING WITH A LINE OF GRASS-FED FLAVORED PURE SPREADABLE BUTTERS KNOWN AS “GHEE”.	Brands: 4th & Heart's Pure Spreadable Butters: 1) Original 2) Madagascar Vanilla Bean 3) Himalayan Pink Salt 4) California Garlic 5) NEW Turmeric Ghee Oils: 1) Sprayable Ghee Oil 2) Pourable Ghee Oil Spreadable Chocolate Ghee: 1) Original 2) Passionfruit 3) Coffee ['Raw Ingredients', 'Special Attributes']	[['Fats & Oils'], ['Dairy Free', 'Food Service Ready', 'Gluten/Wheat Free', 'Kosher/Parve']]
11	5 Star Foods International LLC	Booth: 1829	['Houston,', 'TX', 'United States']	N/A	N/A	[]	[]
12	50/50 Foods, Inc	Booth: 5428	['Los Angeles,', 'CA', 'United States']	Not ready to give up meat entirely, but want to eat less meat?  We are creating a whole new category of 50% meat, 50% veggie products, starting with our flagship BOTH Burger...a delicious blend of 50% grass-fed beef, and 50% roasted mushrooms, caramelized onions, cauliflower, broccoli, and roasted garlic.  Welcome to what's possible!  Now you can have your meat and eat it too!	Brands: BOTH Burger	[]	[]
13	7th Heaven Inc	Booth: N1916	['Wilmington,', 'DE', 'United States']	N/A	N/A	[]	[]
14	A Better Treat	Booth: 8608	['Brea,', 'CA', 'United States']	N/A	N/A	[]	[]
15	A Dozen Cousins	Booth: N213	['Los Angeles,', 'CA', 'United States']	A Dozen Cousins is a natural food brand that makes convenient products inspired by traditional Creole, Caribbean and Latin American recipes. Our products include: 1)Authentic regional beans cooked in nutrient-dense avocado oil 2) Ready-to-eat rice cooked in bone broth with 7g of collagen rich protein 3)Entrée Seasoning Sauces to bake, broil or grill an authentic meal with no need to marinate. 4) Rice Seasoning Sauces that are the world's first wet seasoning sauce for restaurant quality rice.	N/A	['Soups & Canned Goods']	[['Canned & Prepared Beans']]
16	a good egg	Booth: 8108	['South Holland,', 'IL', 'United States']	N/A	N/A	[]	[]
17	A Greener World	Booth: F1	['Terrebonne,', 'OR', 'United States']	N/A	N/A	[]	[]
18	A La Maison	Booth: N1106	['Huntington,', 'NY', 'United States']	Come experience our French formulations in our bar and liquid soaps, lotions, body wash and deodorants!	Brands: A La Maison de Provence Products	['Cosmetics Personal Care', 'Special Attributes']	[['Bath & Body', 'Deodorant & Anti-Perspirant'], ['Cruelty-Free']]
19	A to Z Nutrition Int'l, Inc.	Booth: 4182	['Pembroke Pines,', 'FL', 'United States']	N/A	N/A	[]	[]
20	A&B VIETNAM INVEST.,JSC	Booth: 2495	['Ha Noi,', 'Viet Nam']	N/A	N/A	[]	[]
21	A.M.O.R. bars	Booth: 8605	['San Antonio,', 'TX', 'United States']	N/A	N/A	[]	[]
22	A+ Berry	Booth: 4786	['Lincoln,', 'NE', 'United States']	N/A	N/A	[]	[]
23	Aaron Thomas Company	Booth: N1007	['Garden Grove,', 'CA', 'United States']	The Aaron Thomas Company is a contract manufacturer and packager specializing in nutritional supplements and natural food packaging services. We have service locations in Los Angeles, Chicago, and Memphis. Our high-speed automated packaging services allow you to bring your products to market in less time and with higher quality. We are SQF Level 2, GMP, and QAI certified. Additionally, we are AIB inspected.	Brands: contract packaging, manufacturing, snack food, pouching, stick packs, organic, nsf, food packaging, organic packaging, los angeles packaging, qai, aib, sqf, organic	['Packaging', 'Services']	[['Packaging Material'], ['Contract Manufacturing']]
24	AB World Foods	Booth: N622	['Blue Ridge,', 'GA', 'United States']	Encompassing three brands featuring international cuisines, AB World Foods USA strives to inspire people to explore the incredible flavors of the world. We want to be your go-to people in world foods and specialty condiments. Our authentic, delicious, easy to use products are sure to be the perfect additions to complete your well-rounded International set. Our brands include Patak's	Brands: Patak's (Indian), Blue Dragon, Al' Fez	['Special Attributes']	[['Ethnic', 'Ethnic/Multicultural']]
25	Abbot's	Booth: 5095	['Costa Mesa,', 'CA', 'United States']	N/A	N/A	['Special Attributes', 'Meat Alternatives']	[['Allergy Free', 'Convenience', 'Egg Free', 'Food Service Ready', 'Gluten/Wheat Free', 'Vegan'], ['Plant-based Meat', 'Plant-based Poultry']]
26	Abbott Blackstone Co.	Booth: 1953	['Clearwater,', 'FL', 'United States']	N/A	N/A	['Snacks', 'Special Attributes', 'Supplements']	[['Dried Fruit', 'Nuts & Seeds'], ['Allergy Free', 'Cocoa', 'Functional Food', 'Organic Ingredients'], ['Antioxidants', 'Superfood & Greens Blends']]
27	ABC COCINA LLC	Booth: N428	['Miami,', 'FL', 'United States']	delOrigen is a Latin Women-Owned brand that crafts the most delicious Healthy Frozen Cheese Sticks and Empanadas.  Throughout the years we have perfected and expanded our brand by offering wholesome delicious snacks, supplying the ever-growing healthy food industry. Keto, Gluten-Free, Plant-Based, Whole Grain, Non-GMO, and Preservative Free are among the benefits that we offer every day, delivering love and health to families across the globe.  	Brands: delOrigen-Wholesomely Delicious, delOrigen- Wholy Pops	['Bakery', 'Frozen', 'Special Attributes']	[['Bagels'], ['Frozen Appetizers & Side Dishes', 'Frozen Breads & Dough'], ['Dairy Free', 'Ethnic/Multicultural', 'Gluten/Wheat Free', 'Low Carb', 'Specialty/Gourmet']]
28	Abe's Vegan Muffins	Booth: N429	['West Nyack,', 'NY', 'United States']	Inspired by a son with severe allergies, the founders of Abe’s have created the first and only nationally-branded vegan muffin. Abe's does the hard work for parents of kids with food allergies struggling to find snacks their children can both safely eat and enjoy.	Brands: Abe's Vegan Muffins	['Bakery', 'Special Attributes']	[['Bread', 'Buns'], ['Allergy Free', 'Dairy Free', 'Egg Free', 'Kosher/Parve', 'Vegan']]
29	Abstinence Spirits	Booth: 4399C	['Oakland,', 'CA', 'United States']	N/A	N/A	['Adult Beverages']	[['Non-Alcoholic Liquor & Spirits']]
30	AC Foods	Booth: 224	['Fresno,', 'CA', 'United States']	N/A	N/A	[]	[]
31	Acai Roots	Booth: 2899B	['San Diego,', 'CA', 'United States']	Acai Roots was founded in 2005 by native "cariocas" (Brazilians born in Rio de Janeiro). Our goal is to deliver the great taste of acai while maintaining its unique health benefits and never sacrificing quality. Our products always contain 100% organic Brazilian acai, harvested in the rainforest using sustainable methods. Our promise is to always deliver what you are seeking, great tasting acai which delivers all the health benefits. To your health, Marco Rega & Rafael Magalhaes	Brands: Organic Premium Acai Sorbet in a 3 gallon tub, Pint, 48oz, 64oz or Fruit Bar, Organic Acai Pure Pouches, Organic Acai+Guarana Pouches, Organic Acai Freeze Dried Powder, Organic Premium Acai Juice, Organic Premium Acai+Pomegranate+Blueberry Juice	['Frozen', 'Special Attributes']	[['Frozen Desserts'], ['Gluten/Wheat Free', 'Dairy Free', 'Food Service Ready', 'Functional Beverage', 'Kosher/Parve']]
32	Accelerated Freeze Drying Co Ltd	Booth: 2699C	['Corona,', 'CA', 'United States']	N/A	N/A	[]	[]
33	ACCU Vita Labs LLC	Booth: 4181	['Glendale,', 'CA', 'United States']	N/A	N/A	[]	[]
34	AceBiome	Booth: 4577	['Seoul,', 'Korea, Republic of']	N/A	N/A	['Raw Ingredients', 'Supplements', 'Vitamins & Minerals']	[['Probiotics', 'Proteins/Amino Acids'], ['Fitness & Weight Management', 'Glucosamine & Joint Health', 'Probiotics & Digestion'], ["Children's Vitamins", 'Multivitamins', 'Vitamins']]
35	Aceites Especiales TH	Booth: 2058	['Morelia,', 'Michoacán', 'Mexico']	N/A	N/A	[]	[]
36	ACETAIA LEONARDI SRL	Booth: 5259	['Formigine,', 'Modena', 'Italy']	N/A	N/A	[]	[]
37	Acetum	Booth: N820	['Clifton,', 'NJ', 'United States']	N/A	Brands: Acetum & Mazzetti	['Condiments & Sauces', 'Packaging', 'Special Attributes']	[['Salad Dressings', 'Condiments & Sauces'], ['Glass Bottles'], ['Dairy Free', 'Egg Free', 'Gluten/Wheat Free', 'Specialty/Gourmet', 'Vegan']]
