2517	W&P	Booth: 3074	['New York,', 'NY', 'United States']	N/A	N/A	[]	[]
2518	Wai Lana Chips	Booth: 1973	['Gridley,', 'CA', 'United States']	Wai Lana is an internationally recognized yoga and wellness teacher. Her healthy snacks line include Cassava Chips, Root Vegetable Chips, and Rice Crisps/Twists. Gluten-Free, Vegan-Non-GMO. New to this year's show-Sea Veggie Crisps! Irresistibly Delicious!     	Brands: Wai Lana
Wai Lana Snacks
Wai Lana Chips
	['Special Attributes']	[['Dairy Free', 'Egg Free', 'Gluten/Wheat Free', 'Trans Fat Free', 'Vegan']]
2519	Waiakea Hawaiian Volcanic Water	Booth: 5416	['Hilo,', 'HI', 'United States']	N/A	Brands: Waiakea Hawaiian Volcanic Water	['Packaging', 'Raw Ingredients', 'Special Attributes']	[['Recycled Products'], ['Other'], ['Food Service Ready', 'Full Line', 'Full Line Organic', 'Functional Beverage', 'Specialty/Gourmet']]
2520	Waka  Coffee & Tea	Booth: 8502	['Irwindale,', 'CA', 'United States']	We started Waka to make your day just a bit easier, so you can spend more time on the things you love. Our quality instant coffees and teas are your effortless solution for delicious drinks at home or on the go. Our products generate less waste and require no equipment. Just add water and enjoy!	Brands: Waka Coffee & Tea	[]	[]
2521	Wakashou Co., Ltd	Booth: 5636	['Sagamihara-shi,', 'Japan']	N/A	N/A	[]	[]
2522	Wakunaga of America	Booth: 4542	['Mission Viejo,', 'CA', 'United States']	Wakunaga of America - Visit Booth # N905 for show specials, learn about new research & new products.   Since 1972, Wakunaga of America Co., LTD. has promoted consumer health worldwide through the research, development, manufacturing, and marketing of high quality medicinal herbs and nutrients. Wakunaga’s corporate philosophy centers around a commitment to research and a mission to serve public health by providing products of the highest quality, supported by truthful, unbiased science.  	Brands: Kyolic® Aged Garlic Extract, Kyo-Dophilus® Probiotics, Kyo-Green® Powdered Drink Mix, Moducare®,	['Special Attributes']	[['Dairy Free', 'Gluten/Wheat Free', 'Allergy Free']]
2523	Walkerâ€™s Shortbread	Booth: 971	['Hauppauge,Â', 'NY', 'United States']	Walkers Shortbread, a family business, founded in 1898 by Joseph Walker with a bakery shop in a tiny village in the Highlands of Scotland. Today, 122 years later, the company is a highly respected international bakery under the guidance of the third and fourth generation of Walkers. The emphasis now, as it was over a century ago, is producing the very best quality baked goods, using the freshest and finest quality natural ingredients available.	Brands: Walkers Shortbread	['Special Attributes']	[['Food Service Ready', 'Gluten/Wheat Free', 'Kosher/Parve']]
2524	Wally's Natural Inc.	Booth: 2830	['Auburn,', 'CA', 'United States']	Wally's Natural, Inc., founded in 1991, is a family owned and operated natural products business that has been a leader in the natural ear and skin care industry for over 20 years. Wally's takes pride in manufacturing its natural products in a solar-powered facility using certified sourced paper from the Sustainable Forestry Initiative and is committed to creating eco-friendly natural products.	Brands: Wally's Ear Company,  Wally's Natural Inc.	['Cosmetics Personal Care']	[['Bath & Body']]
2525	Walmart Marketplace	Booth: 3173	['COLONIA,', 'NJ', 'United States']	N/A	N/A	[]	[]
